Country_ID;Pre-1945;1945-1969;1970-1979;1980-1989;1990-1999;2000-2010;Post-2010
AT;1,2;1,2;0,9;0,9;0,8;0,7;0,7
BE;1,2;1,2;0,9;0,9;0,8;0,7;0,7
BG;1,2;1,2;0,9;0,9;0,9;0,9;0,9
HR;1,2;1,2;0,9;0,9;0,9;0,9;0,9
CY;1,2;1,2;0,9;0,9;0,9;0,9;0,9
CZ;1,2;1,2;0,9;0,9;0,9;0,9;0,9
DK;0,9;0,9;0,6;0,6;0,6;0,4;0,3
EE;1,2;1,2;0,9;0,9;0,9;0,9;0,9
FI;0,9;0,9;0,6;0,6;0,6;0,4;0,3
FR;1,2;1,2;0,9;0,9;0,8;0,7;0,7
DE;1,2;1,2;0,9;0,9;0,8;0,7;0,7
EL;1,2;1,2;0,9;0,9;0,9;0,9;0,9
HU;1,2;1,2;0,9;0,9;0,9;0,9;0,9
IE;1,2;1,2;0,9;0,9;0,8;0,7;0,7
IT;1,2;1,2;0,9;0,9;0,9;0,9;0,9
LV;1,2;1,2;0,9;0,9;0,9;0,9;0,9
LT;1,2;1,2;0,9;0,9;0,9;0,9;0,9
LU;1,2;1,2;0,9;0,9;0,8;0,7;0,7
MT;1,2;1,2;0,9;0,9;0,9;0,9;0,9
NL;1,2;1,2;0,9;0,9;0,6;0,4;0,3
NO;0,9;0,9;0,6;0,6;0,6;0,4;0,3
PL;1,2;1,2;0,9;0,9;0,9;0,9;0,9
PT;1,2;1,2;0,9;0,9;0,9;0,9;0,9
RO;1,2;1,2;0,9;0,9;0,9;0,9;0,9
RS;1,2;1,2;0,9;0,9;0,9;0,9;0,9
SK;1,2;1,2;0,9;0,9;0,9;0,9;0,9
SI;1,2;1,2;0,9;0,9;0,9;0,9;0,9
ES;1,2;1,2;0,9;0,9;0,9;0,9;0,6
SE;0,9;0,9;0,6;0,6;0,6;0,4;0,3
AL;1,2;1,2;0,9;0,9;0,9;0,9;0,9
CH;1,2;1,2;0,9;0,9;0,8;0,7;0,7
IS;0,9;0,9;0,6;0,6;0,6;0,4;0,3
LI;1,2;1,2;0,9;0,9;0,8;0,7;0,7
ME;1,2;1,2;0,9;0,9;0,9;0,9;0,9
MK;1,2;1,2;0,9;0,9;0,9;0,9;0,9
TR;1,2;1,2;0,9;0,9;0,9;0,9;0,9
UA;1,2;1,2;0,9;0,9;0,8;0,7;0,7
XK;1,2;1,2;0,9;0,9;0,9;0,9;0,9
UK;1,2;1,2;0,9;0,9;0,8;0,7;0,7
