CNTR_CODE;PopWgt;LandAreaWgt
AT;https://www.renewables.ninja/country_downloads/AT/ninja-weather-country-AT-irradiance_surface_pop_wtd-merra2.csv;https://www.renewables.ninja/country_downloads/AT/ninja-weather-country-AT-irradiance_surface_area_wtd-merra2.csv
AL;https://www.renewables.ninja/country_downloads/AL/ninja-weather-country-AL-irradiance_surface_pop_wtd-merra2.csv;https://www.renewables.ninja/country_downloads/AL/ninja-weather-country-AL-irradiance_surface_area_wtd-merra2.csv
BE;https://www.renewables.ninja/country_downloads/BE/ninja-weather-country-BE-irradiance_surface_pop_wtd-merra2.csv;https://www.renewables.ninja/country_downloads/BE/ninja-weather-country-BE-irradiance_surface_area_wtd-merra2.csv
BG;https://www.renewables.ninja/country_downloads/BG/ninja-weather-country-BG-irradiance_surface_pop_wtd-merra2.csv;https://www.renewables.ninja/country_downloads/BG/ninja-weather-country-BG-irradiance_surface_area_wtd-merra2.csv
CH;https://www.renewables.ninja/country_downloads/CH/ninja-weather-country-CH-irradiance_surface_pop_wtd-merra2.csv;https://www.renewables.ninja/country_downloads/CH/ninja-weather-country-CH-irradiance_surface_area_wtd-merra2.csv
CZ;https://www.renewables.ninja/country_downloads/CZ/ninja-weather-country-CZ-irradiance_surface_pop_wtd-merra2.csv;https://www.renewables.ninja/country_downloads/CZ/ninja-weather-country-CZ-irradiance_surface_area_wtd-merra2.csv
CY;https://www.renewables.ninja/country_downloads/CY/ninja-weather-country-CY-irradiance_surface_pop_wtd-merra2.csv;https://www.renewables.ninja/country_downloads/CY/ninja-weather-country-CY-irradiance_surface_area_wtd-merra2.csv
DE;https://www.renewables.ninja/country_downloads/DE/ninja-weather-country-DE-irradiance_surface_pop_wtd-merra2.csv;https://www.renewables.ninja/country_downloads/DE/ninja-weather-country-DE-irradiance_surface_area_wtd-merra2.csv
DK;https://www.renewables.ninja/country_downloads/DK/ninja-weather-country-DK-irradiance_surface_pop_wtd-merra2.csv;https://www.renewables.ninja/country_downloads/DK/ninja-weather-country-DK-irradiance_surface_area_wtd-merra2.csv
EL;https://www.renewables.ninja/country_downloads/GR/ninja-weather-country-GR-irradiance_surface_pop_wtd-merra2.csv;https://www.renewables.ninja/country_downloads/GR/ninja-weather-country-GR-irradiance_surface_area_wtd-merra2.csv
EE;https://www.renewables.ninja/country_downloads/EE/ninja-weather-country-EE-irradiance_surface_pop_wtd-merra2.csv;https://www.renewables.ninja/country_downloads/EE/ninja-weather-country-EE-irradiance_surface_area_wtd-merra2.csv
ES;https://www.renewables.ninja/country_downloads/ES/ninja-weather-country-ES-irradiance_surface_pop_wtd-merra2.csv;https://www.renewables.ninja/country_downloads/ES/ninja-weather-country-ES-irradiance_surface_area_wtd-merra2.csv
FR;https://www.renewables.ninja/country_downloads/FR/ninja-weather-country-FR-irradiance_surface_pop_wtd-merra2.csv;https://www.renewables.ninja/country_downloads/FR/ninja-weather-country-FR-irradiance_surface_area_wtd-merra2.csv
FI;https://www.renewables.ninja/country_downloads/FI/ninja-weather-country-FI-irradiance_surface_pop_wtd-merra2.csv;https://www.renewables.ninja/country_downloads/FI/ninja-weather-country-FI-irradiance_surface_area_wtd-merra2.csv
HR;https://www.renewables.ninja/country_downloads/HR/ninja-weather-country-HR-irradiance_surface_pop_wtd-merra2.csv;https://www.renewables.ninja/country_downloads/HR/ninja-weather-country-HR-irradiance_surface_area_wtd-merra2.csv
HU;https://www.renewables.ninja/country_downloads/HU/ninja-weather-country-HU-irradiance_surface_pop_wtd-merra2.csv;https://www.renewables.ninja/country_downloads/HU/ninja-weather-country-HU-irradiance_surface_area_wtd-merra2.csv
IT;https://www.renewables.ninja/country_downloads/IT/ninja-weather-country-IT-irradiance_surface_pop_wtd-merra2.csv;https://www.renewables.ninja/country_downloads/IT/ninja-weather-country-IT-irradiance_surface_area_wtd-merra2.csv
IE;https://www.renewables.ninja/country_downloads/IE/ninja-weather-country-IE-irradiance_surface_pop_wtd-merra2.csv;https://www.renewables.ninja/country_downloads/IE/ninja-weather-country-IE-irradiance_surface_area_wtd-merra2.csv
