CNTR_CODE;PopWgt;LandAreaWgt
AT;https://www.renewables.ninja/country_downloads/AT/ninja-weather-country-AT-temperature_pop_wtd-merra2.csv;https://www.renewables.ninja/country_downloads/AT/ninja-weather-country-AT-temperature_area_wtd-merra2.csv
AL;https://www.renewables.ninja/country_downloads/AL/ninja-weather-country-AL-temperature_pop_wtd-merra2.csv;https://www.renewables.ninja/country_downloads/AL/ninja-weather-country-AL-temperature_area_wtd-merra2.csv
BE;https://www.renewables.ninja/country_downloads/BE/ninja-weather-country-BE-temperature_pop_wtd-merra2.csv;https://www.renewables.ninja/country_downloads/BE/ninja-weather-country-BE-temperature_area_wtd-merra2.csv
BG;https://www.renewables.ninja/country_downloads/BG/ninja-weather-country-BG-temperature_pop_wtd-merra2.csv;https://www.renewables.ninja/country_downloads/BG/ninja-weather-country-BG-temperature_area_wtd-merra2.csv
CH;https://www.renewables.ninja/country_downloads/CH/ninja-weather-country-CH-temperature_pop_wtd-merra2.csv;https://www.renewables.ninja/country_downloads/CH/ninja-weather-country-CH-temperature_area_wtd-merra2.csv
CZ;https://www.renewables.ninja/country_downloads/CZ/ninja-weather-country-CZ-temperature_pop_wtd-merra2.csv;https://www.renewables.ninja/country_downloads/CZ/ninja-weather-country-CZ-temperature_area_wtd-merra2.csv
CY;https://www.renewables.ninja/country_downloads/CY/ninja-weather-country-CY-temperature_pop_wtd-merra2.csv;https://www.renewables.ninja/country_downloads/CY/ninja-weather-country-CY-temperature_area_wtd-merra2.csv
DE;https://www.renewables.ninja/country_downloads/DE/ninja-weather-country-DE-temperature_pop_wtd-merra2.csv;https://www.renewables.ninja/country_downloads/DE/ninja-weather-country-DE-temperature_area_wtd-merra2.csv
DK;https://www.renewables.ninja/country_downloads/DK/ninja-weather-country-DK-temperature_pop_wtd-merra2.csv;https://www.renewables.ninja/country_downloads/DK/ninja-weather-country-DK-temperature_area_wtd-merra2.csv
EL;https://www.renewables.ninja/country_downloads/GR/ninja-weather-country-GR-temperature_pop_wtd-merra2.csv;https://www.renewables.ninja/country_downloads/GR/ninja-weather-country-GR-temperature_area_wtd-merra2.csv
EE;https://www.renewables.ninja/country_downloads/EE/ninja-weather-country-EE-temperature_pop_wtd-merra2.csv;https://www.renewables.ninja/country_downloads/EE/ninja-weather-country-EE-temperature_area_wtd-merra2.csv
ES;https://www.renewables.ninja/country_downloads/ES/ninja-weather-country-ES-temperature_pop_wtd-merra2.csv;https://www.renewables.ninja/country_downloads/ES/ninja-weather-country-ES-temperature_area_wtd-merra2.csv
FR;https://www.renewables.ninja/country_downloads/FR/ninja-weather-country-FR-temperature_pop_wtd-merra2.csv;https://www.renewables.ninja/country_downloads/FR/ninja-weather-country-FR-temperature_area_wtd-merra2.csv
FI;https://www.renewables.ninja/country_downloads/FI/ninja-weather-country-FI-temperature_pop_wtd-merra2.csv;https://www.renewables.ninja/country_downloads/FI/ninja-weather-country-FI-temperature_area_wtd-merra2.csv
HR;https://www.renewables.ninja/country_downloads/HR/ninja-weather-country-HR-temperature_pop_wtd-merra2.csv;https://www.renewables.ninja/country_downloads/HR/ninja-weather-country-HR-temperature_area_wtd-merra2.csv
HU;https://www.renewables.ninja/country_downloads/HU/ninja-weather-country-HU-temperature_pop_wtd-merra2.csv;https://www.renewables.ninja/country_downloads/HU/ninja-weather-country-HU-temperature_area_wtd-merra2.csv
IT;https://www.renewables.ninja/country_downloads/IT/ninja-weather-country-IT-temperature_pop_wtd-merra2.csv;https://www.renewables.ninja/country_downloads/IT/ninja-weather-country-IT-temperature_area_wtd-merra2.csv
IE;https://www.renewables.ninja/country_downloads/IE/ninja-weather-country-IE-temperature_pop_wtd-merra2.csv;https://www.renewables.ninja/country_downloads/IE/ninja-weather-country-IE-temperature_area_wtd-merra2.csv
IS;https://www.renewables.ninja/country_downloads/IS/ninja-weather-country-IS-temperature_pop_wtd-merra2.csv;https://www.renewables.ninja/country_downloads/IS/ninja-weather-country-IS-temperature_area_wtd-merra2.csv
NO;https://www.renewables.ninja/country_downloads/NO/ninja-weather-country-NO-temperature_pop_wtd-merra2.csv;https://www.renewables.ninja/country_downloads/NO/ninja-weather-country-NO-temperature_area_wtd-merra2.csv
NL;https://www.renewables.ninja/country_downloads/NL/ninja-weather-country-NL-temperature_pop_wtd-merra2.csv;https://www.renewables.ninja/country_downloads/NL/ninja-weather-country-NL-temperature_area_wtd-merra2.csv
ME;https://www.renewables.ninja/country_downloads/ME/ninja-weather-country-ME-temperature_pop_wtd-merra2.csv;https://www.renewables.ninja/country_downloads/ME/ninja-weather-country-ME-temperature_area_wtd-merra2.csv
MK;https://www.renewables.ninja/country_downloads/MK/ninja-weather-country-MK-temperature_pop_wtd-merra2.csv;https://www.renewables.ninja/country_downloads/MK/ninja-weather-country-MK-temperature_area_wtd-merra2.csv
LI;https://www.renewables.ninja/country_downloads/LI/ninja-weather-country-LI-temperature_pop_wtd-merra2.csv;https://www.renewables.ninja/country_downloads/LI/ninja-weather-country-LI-temperature_area_wtd-merra2.csv
LT;https://www.renewables.ninja/country_downloads/LT/ninja-weather-country-LT-temperature_pop_wtd-merra2.csv;https://www.renewables.ninja/country_downloads/LT/ninja-weather-country-LT-temperature_area_wtd-merra2.csv
MT;https://www.renewables.ninja/country_downloads/MT/ninja-weather-country-MT-temperature_pop_wtd-merra2.csv;https://www.renewables.ninja/country_downloads/MT/ninja-weather-country-MT-temperature_area_wtd-merra2.csv
LU;https://www.renewables.ninja/country_downloads/LU/ninja-weather-country-LU-temperature_pop_wtd-merra2.csv;https://www.renewables.ninja/country_downloads/LU/ninja-weather-country-LU-temperature_area_wtd-merra2.csv
LV;https://www.renewables.ninja/country_downloads/LV/ninja-weather-country-LV-temperature_pop_wtd-merra2.csv;https://www.renewables.ninja/country_downloads/LV/ninja-weather-country-LV-temperature_area_wtd-merra2.csv
RO;https://www.renewables.ninja/country_downloads/RO/ninja-weather-country-RO-temperature_pop_wtd-merra2.csv;https://www.renewables.ninja/country_downloads/RO/ninja-weather-country-RO-temperature_area_wtd-merra2.csv
PL;https://www.renewables.ninja/country_downloads/PL/ninja-weather-country-PL-temperature_pop_wtd-merra2.csv;https://www.renewables.ninja/country_downloads/PL/ninja-weather-country-PL-temperature_area_wtd-merra2.csv
PT;https://www.renewables.ninja/country_downloads/PT/ninja-weather-country-PT-temperature_pop_wtd-merra2.csv;https://www.renewables.ninja/country_downloads/PT/ninja-weather-country-PT-temperature_area_wtd-merra2.csv
RS;https://www.renewables.ninja/country_downloads/RS/ninja-weather-country-RS-temperature_pop_wtd-merra2.csv;https://www.renewables.ninja/country_downloads/RS/ninja-weather-country-RS-temperature_area_wtd-merra2.csv
UA;https://www.renewables.ninja/country_downloads/UA/ninja-weather-country-UA-temperature_pop_wtd-merra2.csv;https://www.renewables.ninja/country_downloads/UA/ninja-weather-country-UA-temperature_area_wtd-merra2.csv
TR;https://www.renewables.ninja/country_downloads/TR/ninja-weather-country-TR-temperature_pop_wtd-merra2.csv;https://www.renewables.ninja/country_downloads/TR/ninja-weather-country-TR-temperature_area_wtd-merra2.csv
SE;https://www.renewables.ninja/country_downloads/SE/ninja-weather-country-SE-temperature_pop_wtd-merra2.csv;https://www.renewables.ninja/country_downloads/SE/ninja-weather-country-SE-temperature_area_wtd-merra2.csv
SK;https://www.renewables.ninja/country_downloads/SK/ninja-weather-country-SK-temperature_pop_wtd-merra2.csv;https://www.renewables.ninja/country_downloads/SK/ninja-weather-country-SK-temperature_area_wtd-merra2.csv
SI;https://www.renewables.ninja/country_downloads/SI/ninja-weather-country-SI-temperature_pop_wtd-merra2.csv;https://www.renewables.ninja/country_downloads/SI/ninja-weather-country-SI-temperature_area_wtd-merra2.csv
XK;https://www.renewables.ninja/country_downloads/XK/ninja-weather-country-XK-temperature_pop_wtd-merra2.csv;https://www.renewables.ninja/country_downloads/XK/ninja-weather-country-XK-temperature_area_wtd-merra2.csv
