CountryID;Share of individual (individual +room);Avg.DwellingSize;Avg.SFHSize;OccDwellings
AT;0,825807764;85;100;0,817997682
BE;0,75792561;85;100;0,856238653
BG;0,980768096;85;100;0,610745353
HR;1;85;100;0,599279916
CY;1;85;100;0,719026742
CZ;0,731557151;85;100;0,838972156
DK;0,925931684;85;100;0,758808689
EE;0,75792561;85;100;0,76026014
FI;0,699961828;85;100;0,885539928
FR;0,849121807;85;100;0,758808689
DE;0,562603004;85;100;0,758808689
EL;0,521474025;85;100;0,654737075
HU;0,961968876;85;100;0,876386923
IE;1;85;100;0,758808689
IT;0,999603453;85;100;0,728344907
LV;0,435;85;100;0,762254227
LT;0,489156237;85;100;0,843996578
LU;0,791338559;85;100;0,758808689
MT;1;85;100;0,758808689
NL;0,800598247;85;100;0,958813759
NO;0,75792561;85;100;0,93061703
PL;0,566666667;85;100;0,758808689
PT;0,75792561;85;100;0,693820985
RO;0,994372027;85;100;0,758808689
RS;0,773828252;85;100;0,758808689
SK;0,579000031;85;100;0,789298159
SI;1;85;100;0,808432727
ES;0,7625;85;100;0,69624473
SE;0,493100777;85;100;0,821670558
AL;0,75792561;85;100;0,758808689
CH;0,75792561;85;100;0,758808689
IS;0,75792561;85;100;0,898521043
LI;0,75792561;85;100;0,823386
ME;0,75792561;85;100;0,758808689
MK;0,75792561;85;100;0,758808689
TR;0,75792561;85;100;0,758808689
UA;0,75792561;85;100;0,758808689
XK;0,75792561;85;100;0,758808689
UK;0,984691406;85;100;0,758808689
EU27;0,75792561;85;100;0,758808689
