Datetime;AL;AT;BE;BG;CH;CY;CZ;DE;DK;EE;EL;ES;FI;FR;HR;HU;IE;IS;IT;LI;LT;LU;LV;ME;MK;MT;NL;NO;PL;PT;RO;RS;SE;SI;SK;TR;UA;XK;UK
01/01/2019 0:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/01/2019 1:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/01/2019 2:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/01/2019 3:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/01/2019 4:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/01/2019 5:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/01/2019 6:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/01/2019 7:00;0;0;0;0;0;16,13740557;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/01/2019 8:00;4,312626268;3,219871757;0;0;3,219871757;97,0096889;0;0,521508869;0;0;4,312626268;0;0;0,705292165;0,746237498;0,82976734;0;2,75754902;8,573663707;3,219871757;0;0;0;0,746237498;0;4,680893099;0;2,75754902;1,53538009;20,69821057;3,551040517;1,340245647;0;0,746237498;0,82976734;4,312626268;1,53538009;1,340245647;0
01/01/2019 9:00;21,90970308;20,25122978;0,831224397;5,075486858;20,25122978;191,9047855;6,217159647;3,214077872;0,83045402;0;21,90970308;1,837908281;0;4,870982278;5,088180524;5,342977476;2,156681446;14,05619768;43,23308469;20,25122978;1,003857114;1,164421727;1,003857114;5,088180524;5,075486858;14,33368946;2,392197299;14,05619768;7,826372584;60,74826843;35,0120773;9,138393361;1,670727729;5,088180524;5,342977476;21,90970308;7,826372584;9,138393361;12,37053625
01/01/2019 10:00;49,79011804;50,53041465;5,094032473;16,26054736;50,53041465;229,3941117;18,44164576;7,398931115;10,3118795;18,72690431;49,79011804;20,88458807;18,72690431;12,90183763;13,47031948;13,22121028;8,743484251;28,24414873;80,65791636;50,53041465;5,788174856;6,354060128;5,788174856;13,47031948;16,26054736;24,08788463;11,07926019;28,24414873;15,72610434;109,8907039;117,1277355;24,19274975;13,89321286;13,47031948;13,22121028;49,79011804;15,72610434;24,19274975;26,26229638
01/01/2019 11:00;69,78378226;68,84680909;11,95024272;27,47218565;68,84680909;220,9756524;42,89489861;10,00888147;44,00971081;72,26176101;69,78378226;83,88442458;72,26176101;19,62232472;20,74940486;19,55976707;13,16610481;43,27369615;109,4920599;68,84680909;14,21777709;13,9861097;14,21777709;20,74940486;27,47218565;31,23369336;22,63787389;43,27369615;24,09442987;171,822635;175,5752713;37,26601733;45,65131244;20,74940486;19,55976707;69,78378226;24,09442987;37,26601733;40,21878373
01/01/2019 12:00;65,98352763;74,87771439;17,24910252;34,42852443;74,87771439;203,3501573;64,93243462;10,27705946;84,63461888;79,74171921;65,98352763;156,152708;79,74171921;23,23136812;24,21482129;22,26344039;25,24009822;47,40299538;114,5706209;74,87771439;25,34767282;19,20778353;25,34767282;24,21482129;34,42852443;34,36881904;41,47200387;47,40299538;26,39358894;123,9574797;183,793314;43,48991963;76,61512286;24,21482129;22,26344039;65,98352763;26,39358894;43,48991963;45,59822072
01/01/2019 13:00;57,06398091;71,09173614;19,06322261;35,85349448;71,09173614;195,1870765;75,05527975;8,334821757;106,350845;93,0649144;57,06398091;176,9941978;93,0649144;22,90872364;23,52061505;20,60357822;39,6118778;41,11547529;113,9857225;71,09173614;31,74273992;20,75433546;31,74273992;23,52061505;35,85349448;33,69324508;55,6264449;41,11547529;22,89275066;117,8582941;182,7047967;42,24312234;62,40086242;23,52061505;20,60357822;57,06398091;22,89275066;42,24312234;44,2407328
01/01/2019 14:00;46,89344901;48,27513379;19,53442079;31,51582297;48,27513379;169,1870459;54,68885598;4,537737269;84,44469281;61,56215911;46,89344901;153,4323957;61,56215911;18,65084194;18,77476212;15,3574635;15,57221132;25,00998359;104,5434914;48,27513379;32,56472663;18,69070023;32,56472663;18,77476212;31,51582297;28,92614178;18,4790175;25,00998359;13,92534841;97,73545826;176,0963137;33,71955078;40,67074757;18,77476212;15,3574635;46,89344901;13,92534841;33,71955078;35,24371503
01/01/2019 15:00;43,74619067;20,05270596;20,97346198;22,05737927;20,05270596;115,3678862;22,51514032;1,174475167;51,73859349;8,388611221;43,74619067;112,5259737;8,388611221;11,22349256;10,91742621;7,872022802;9,247987916;8,405453498;79,43655581;20,05270596;15,40733733;12,96262529;15,40733733;10,91742621;22,05737927;20,50339496;27,67371984;8,405453498;4,680085777;80,92672743;134,600455;19,60774283;1,738928246;10,91742621;7,872022802;43,74619067;4,680085777;19,60774283;17,53009413
01/01/2019 16:00;29,68771613;3,513525101;9,391440481;10,49630255;3,513525101;43,48894211;4,030238951;0;1,867659717;0;29,68771613;65,18044687;0;3,843456251;3,326098539;1,741820696;2,749458088;0;44,48108232;3,513525101;2,180357893;5,764133062;2,180357893;3,326098539;10,49630255;10,33509117;24,69786933;0;0;66,16754702;54,90026504;5,973686794;0;3,326098539;1,741820696;29,68771613;0;5,973686794;0,99466846
01/01/2019 17:00;10,22156427;0;1,765968765;1,187663496;0;1,677147768;0;0;0;0;10,22156427;51,06046529;0;0;0;0;0;0;5,33578227;0;0;0,495660062;0;0;1,187663496;1,498441887;1,21238855;0;0;51,79325881;2,265272954;0;0;0;0;10,22156427;0;0;0
01/01/2019 18:00;0;0;0;0;0;0;0;0;0;0;0;3,558340629;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/01/2019 19:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/01/2019 20:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/01/2019 21:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/01/2019 22:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/01/2019 23:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/02/2019 0:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/02/2019 1:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/02/2019 2:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/02/2019 3:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/02/2019 4:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/02/2019 5:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/02/2019 6:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
