Datetime;AL;AT;BE;BG;CH;CY;CZ;DE;DK;EE;EL;ES;FI;FR;HR;HU;IE;IS;IT;LI;LT;LU;LV;ME;MK;MT;NL;NO;PL;PT;RO;RS;SE;SI;SK;TR;UA;XK;UK
01/01/2019 0:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/01/2019 1:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/01/2019 2:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/01/2019 3:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/01/2019 4:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/01/2019 5:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/01/2019 6:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/01/2019 7:00;0;0;0;0;0;11,71481465;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/01/2019 8:00;3,067990585;2,286025302;0;0;2,286025302;69,93021477;0;0,543466192;0;0;3,067990585;0;0;0,734990182;0,528490291;0,587646661;0;0;6,168704031;2,286025302;0;0;0;0,528490291;0;3,315039718;0;0;1,087449691;15,04967638;2,526862312;3,062696381;0;0,528490291;0,587646661;3,067990585;1,087449691;3,062696381;0
01/01/2019 9:00;15,53581936;14,34235952;0,588678435;0,588678435;14,34235952;136,9855252;4,403031774;3,349401425;0,58813298;0;15,53581936;1,301618564;0;5,076085511;3,603483377;3,783930568;1,527715505;0;30,89764637;14,34235952;0,71093807;0,824650927;0,71093807;3,603483377;0,588678435;10,15121212;1,697131509;0;5,542689026;43,60751692;24,91290085;10,82078553;1,181735805;3,603483377;3,783930568;15,53581936;5,542689026;10,82078553;8,762006472
01/01/2019 10:00;35,22631656;35,55517799;3,607625772;3,607625772;35,55517799;160,5175051;13,03986172;7,710449723;7,269095322;13,16563401;35,22631656;14,84096793;13,16563401;13,44510214;9,539766108;9,363345102;6,191113563;0,907809944;56,92718447;35,55517799;4,099223301;4,499986761;4,099223301;9,539766108;3,607625772;17,05589879;7,838518682;0,907809944;11,12858782;78,0328479;82,70054428;19,77093263;9,740050015;9,539766108;9,363345102;35,22631656;11,12858782;19,77093263;18,53034716
01/01/2019 11:00;49,15558988;47,98961459;8,463239188;8,463239188;47,98961459;151,3465725;30,07658135;10,4302882;30,53727567;49,97087379;49,15558988;59,21429832;49,97087379;20,44463975;14,69486172;13,85235216;9,324320388;3,643118564;75,84877905;47,98961459;10,05376581;9,905051486;10,05376581;14,69486172;8,463239188;22,08037658;15,97491909;3,643118564;17,01247426;120,1084289;121,9517211;25,4381877;31,41015004;14,69486172;13,85235216;49,15558988;17,01247426;25,4381877;28,21993233
01/01/2019 12:00;46,49154163;51,92947926;12,21592527;12,21592527;51,92947926;139,0163578;45,08465725;10,70975614;57,96665196;54,50600177;46,49154163;108,3788173;54,50600177;24,19268409;17,14692557;15,76353339;17,70564872;5,63213298;78,59235069;51,92947926;17,83296558;13,60307443;17,83296558;17,14692557;12,21592527;24,27381583;28,95573698;5,63213298;18,6151368;85,74869079;126,5429979;27,19429244;52,20325096;17,14692557;15,76353339;46,49154163;18,6151368;27,19429244;31,88942336
01/01/2019 13:00;40,23565755;49,4067667;13,49981759;13,49981759;49,4067667;134,017461;51,98490733;8,685746635;72,61906443;63,42499264;40,23565755;121,3187261;63,42499264;23,85792557;16,65575169;14,59055163;27,56662254;5,785307443;78,21512209;49,4067667;22,22488967;14,69814357;22,22488967;16,65575169;13,49981759;23,80151515;38,50839953;5,785307443;16,169594;81,34255663;125,8041041;25,26528391;42,69767579;16,65575169;14,59055163;40,23565755;16,169594;25,26528391;30,97010886
01/01/2019 14:00;33,13798176;33,8743454;13,82573698;13,82573698;33,8743454;118,0599294;38,2180053;4,728790182;58,26997646;42,27110915;33,13798176;105,5442042;42,27110915;19,4328266;13,29640777;10,87625478;11,02400412;4,178240659;72,30511915;33,8743454;22,76543101;13,23687261;22,76543101;13,29640777;13,82573698;20,46373934;13,07363342;4,178240659;9,856378347;67,67166814;121,8928214;19,16762283;28,19283613;13,29640777;10,87625478;33,13798176;9,856378347;19,16762283;24,77353633
01/01/2019 15:00;30,93467196;14,18274492;14,8227714;14,8227714;14,18274492;81,83268608;15,90923801;1,223924149;36,35320683;5,915376581;30,93467196;78,2971168;5,915376581;11,69608709;7,731791703;5,575016181;6,549483672;1,587647838;55,96599;14,18274492;10,87520006;9,180214769;10,87520006;7,731791703;14,8227714;14,52063695;19,49807296;1,587647838;3,314466019;56,67847896;94,65508973;10,09302001;1,231007796;7,731791703;5,575016181;30,93467196;3,314466019;10,09302001;12,39018241
01/01/2019 16:00;21,02525743;2,488300971;6,650094145;6,650094145;2,488300971;31,06978523;2,85426449;0;1,322550309;0;21,02525743;46,01316564;0;4,005293745;2,355564872;1,233568697;1,947182995;0;31,75981171;2,488300971;1,544143866;4,082196234;1,544143866;2,355564872;6,650094145;7,319379229;17,48677552;0;0;47,12519859;39,06468079;2,290470727;0;2,355564872;1,233568697;21,02525743;0;2,290470727;0,704430568
01/01/2019 17:00;7,257837599;0;1,2510787;1,2510787;0;1,187766843;0;0;0;0;7,257837599;36,34526331;0;0;0;0;0;0;3,834945572;0;0;0,351029715;0;0;1,2510787;1,061206384;0,858801412;0;0;37,40716387;1,604879376;0;0;0;0;7,257837599;0;0;0
01/01/2019 18:00;0;0;0;0;0;0;0;0;0;0;0;2,522034422;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/01/2019 19:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/01/2019 20:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/01/2019 21:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/01/2019 22:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/01/2019 23:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/02/2019 0:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/02/2019 1:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/02/2019 2:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/02/2019 3:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/02/2019 4:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/02/2019 5:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/02/2019 6:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
