Country_ID;Sector;Period;Roof;Wall;Window
AT;Residential;Pre-1945;1,7;1,8;2,2
AT;Residential;1945-1969;1,7;1,8;2,3
AT;Residential;1970-1979;1,7;1,6;2,3
AT;Residential;1980-1989;0,8;1,4;2,7
AT;Residential;1990-1999;0,5;0,7;2,5
AT;Residential;2000-2010;0,3;0,4;1,8
AT;Residential;Post-2010;0,2;0,35;1,4
BE;Residential;Pre-1945;2,3;1,9;4,5
BE;Residential;1945-1969;2,3;1,9;4,5
BE;Residential;1970-1979;2,3;1,7;3,9
BE;Residential;1980-1989;1,1;1,6;3,8
BE;Residential;1990-1999;0,9;1,2;3,8
BE;Residential;2000-2010;0,6;0,8;2,5
BE;Residential;Post-2010;0,6;0,8;2,5
BG;Residential;Pre-1945;1,3;1,6;2,7
BG;Residential;1945-1969;1,2;1,6;2,7
BG;Residential;1970-1979;1,3;1,5;2,7
BG;Residential;1980-1989;1,1;1,2;2,7
BG;Residential;1990-1999;0,5;1;1,8
BG;Residential;2000-2010;0,3;0,5;1,8
BG;Residential;Post-2010;0,28;0,35;1,8
HR;Residential;Pre-1945;2,4;1,8;4,8
HR;Residential;1945-1969;1;1,8;4,8
HR;Residential;1970-1979;0,9;1,3;4,6
HR;Residential;1980-1989;0,5;0,6;4,6
HR;Residential;1990-1999;0,3;0,4;2,7
HR;Residential;2000-2010;0,2;0,4;2
HR;Residential;Post-2010;0,2;1,47;2
CY;Residential;Pre-1945;3,3;2,1;5,8
CY;Residential;1945-1969;3,3;2,1;5,8
CY;Residential;1970-1979;3,3;1,4;5,8
CY;Residential;1980-1989;3,3;1,4;5,8
CY;Residential;1990-1999;0,6;1,4;5,8
CY;Residential;2000-2010;0,6;1,4;2,7
CY;Residential;Post-2010;0,6;1,4;2,7
CZ;Residential;Pre-1945;1,1;1,1;3,5
CZ;Residential;1945-1969;0,9;1;3,1
CZ;Residential;1970-1979;0,6;0,9;2,7
CZ;Residential;1980-1989;0,5;0,8;2,7
CZ;Residential;1990-1999;0,4;0,4;2,2
CZ;Residential;2000-2010;0,2;0,4;1,7
CZ;Residential;Post-2010;0,2;0,4;1,7
DK;Residential;Pre-1945;0,6;0,9;2,6
DK;Residential;1945-1969;0,4;0,9;2,6
DK;Residential;1970-1979;0,3;0,5;2,5
DK;Residential;1980-1989;0,2;0,4;2,4
DK;Residential;1990-1999;0,2;0,4;2,4
DK;Residential;2000-2010;0,1;0,3;1,7
DK;Residential;Post-2010;0,1;0,13;1,1
EE;Residential;Pre-1945;0,5;0,5;1,7
EE;Residential;1945-1969;0,4;0,5;1,7
EE;Residential;1970-1979;0,5;0,3;1,7
EE;Residential;1980-1989;0,2;0,3;1,1
EE;Residential;1990-1999;0,2;0,2;1,1
EE;Residential;2000-2010;0,2;0,2;1,1
EE;Residential;Post-2010;0,2;0,2;1,1
FI;Residential;Pre-1945;0,4;0,6;2,2
FI;Residential;1945-1969;0,3;0,6;2,2
FI;Residential;1970-1979;0,3;0,4;1,9
FI;Residential;1980-1989;0,2;0,3;1,7
FI;Residential;1990-1999;0,2;0,3;1,7
FI;Residential;2000-2010;0,2;0,2;1,5
FI;Residential;Post-2010;0,2;0,2;1,5
FR;Residential;Pre-1945;2,5;2,4;4,2
FR;Residential;1945-1969;2,4;2,4;4,2
FR;Residential;1970-1979;1,1;1;3,6
FR;Residential;1980-1989;0,7;0,7;3
FR;Residential;1990-1999;0,6;0,5;2,1
FR;Residential;2000-2010;0,2;0,4;1,8
FR;Residential;Post-2010;0,2;0,28;1,51
DE;Residential;Pre-1945;1,5;1,7;3,2
DE;Residential;1945-1969;1,5;1,3;3,2
DE;Residential;1970-1979;0,6;0,8;3,2
DE;Residential;1980-1989;0,4;0,6;3
DE;Residential;1990-1999;0,3;0,4;2
DE;Residential;2000-2010;0,2;0,4;1,6
DE;Residential;Post-2010;0,2;0,28;1,3
EL;Residential;Pre-1945;2,5;1,6;4,1
EL;Residential;1945-1969;2,5;1,6;4,1
EL;Residential;1970-1979;2,5;1,6;4,1
EL;Residential;1980-1989;1,1;0,9;3,2
EL;Residential;1990-1999;1,1;0,9;3,2
EL;Residential;2000-2010;0,5;0,7;3,1
EL;Residential;Post-2010;0,5;0,7;3,1
HU;Residential;Pre-1945;1,2;1,6;2,5
HU;Residential;1945-1969;1,2;1,6;2,5
HU;Residential;1970-1979;0,9;1,5;2,5
HU;Residential;1980-1989;0,6;0,8;2,5
HU;Residential;1990-1999;0,6;0,8;2,5
HU;Residential;2000-2010;0,3;0,5;1,5
HU;Residential;Post-2010;0,3;0,45;1,9
IE;Residential;Pre-1945;1;1,9;4,7
IE;Residential;1945-1969;1;1,9;4,7
IE;Residential;1970-1979;0,8;1,7;4,5
IE;Residential;1980-1989;0,4;0,7;3,3
IE;Residential;1990-1999;0,4;0,7;2,9
IE;Residential;2000-2010;0,3;0,3;2,5
IE;Residential;Post-2010;0,14;0,3;1,51
IT;Residential;Pre-1945;2,2;1,8;5,4
IT;Residential;1945-1969;2;1,6;5,4
IT;Residential;1970-1979;1,7;1,6;4,6
IT;Residential;1980-1989;1,2;1;4,1
IT;Residential;1990-1999;1;0,9;4
IT;Residential;2000-2010;0,9;0,9;4
IT;Residential;Post-2010;0,34;0,41;2,6
LV;Residential;Pre-1945;1,2;1;3
LV;Residential;1945-1969;1,1;1;2,5
LV;Residential;1970-1979;1,2;1;2,5
LV;Residential;1980-1989;0,9;0,9;2,5
LV;Residential;1990-1999;0,9;0,9;2,5
