Day;Hour;Datetime
01-ene;0:00;01/01/2019 0:00
01-ene;1:00;01/01/2019 1:00
01-ene;2:00;01/01/2019 2:00
01-ene;3:00;01/01/2019 3:00
01-ene;4:00;01/01/2019 4:00
01-ene;5:00;01/01/2019 5:00
01-ene;6:00;01/01/2019 6:00
01-ene;7:00;01/01/2019 7:00
01-ene;8:00;01/01/2019 8:00
01-ene;9:00;01/01/2019 9:00
01-ene;10:00;01/01/2019 10:00
01-ene;11:00;01/01/2019 11:00
01-ene;12:00;01/01/2019 12:00
01-ene;13:00;01/01/2019 13:00
01-ene;14:00;01/01/2019 14:00
01-ene;15:00;01/01/2019 15:00
01-ene;16:00;01/01/2019 16:00
01-ene;17:00;01/01/2019 17:00
01-ene;18:00;01/01/2019 18:00
01-ene;19:00;01/01/2019 19:00
01-ene;20:00;01/01/2019 20:00
01-ene;21:00;01/01/2019 21:00
01-ene;22:00;01/01/2019 22:00
01-ene;23:00;01/01/2019 23:00
02-ene;0:00;02/01/2019 0:00
02-ene;1:00;02/01/2019 1:00
02-ene;2:00;02/01/2019 2:00
02-ene;3:00;02/01/2019 3:00
02-ene;4:00;02/01/2019 4:00
02-ene;5:00;02/01/2019 5:00
02-ene;6:00;02/01/2019 6:00
02-ene;7:00;02/01/2019 7:00
02-ene;8:00;02/01/2019 8:00
02-ene;9:00;02/01/2019 9:00
02-ene;10:00;02/01/2019 10:00
02-ene;11:00;02/01/2019 11:00
02-ene;12:00;02/01/2019 12:00
02-ene;13:00;02/01/2019 13:00
02-ene;14:00;02/01/2019 14:00
02-ene;15:00;02/01/2019 15:00
02-ene;16:00;02/01/2019 16:00
02-ene;17:00;02/01/2019 17:00
02-ene;18:00;02/01/2019 18:00
02-ene;19:00;02/01/2019 19:00
02-ene;20:00;02/01/2019 20:00
02-ene;21:00;02/01/2019 21:00
02-ene;22:00;02/01/2019 22:00
02-ene;23:00;02/01/2019 23:00
03-ene;0:00;03/01/2019 0:00
03-ene;1:00;03/01/2019 1:00
03-ene;2:00;03/01/2019 2:00
03-ene;3:00;03/01/2019 3:00
03-ene;4:00;03/01/2019 4:00
03-ene;5:00;03/01/2019 5:00
03-ene;6:00;03/01/2019 6:00
03-ene;7:00;03/01/2019 7:00
03-ene;8:00;03/01/2019 8:00
03-ene;9:00;03/01/2019 9:00
03-ene;10:00;03/01/2019 10:00
03-ene;11:00;03/01/2019 11:00
03-ene;12:00;03/01/2019 12:00
03-ene;13:00;03/01/2019 13:00
03-ene;14:00;03/01/2019 14:00
03-ene;15:00;03/01/2019 15:00
03-ene;16:00;03/01/2019 16:00
03-ene;17:00;03/01/2019 17:00
03-ene;18:00;03/01/2019 18:00
03-ene;19:00;03/01/2019 19:00
03-ene;20:00;03/01/2019 20:00
03-ene;21:00;03/01/2019 21:00
03-ene;22:00;03/01/2019 22:00
03-ene;23:00;03/01/2019 23:00
04-ene;0:00;04/01/2019 0:00
04-ene;1:00;04/01/2019 1:00
04-ene;2:00;04/01/2019 2:00
04-ene;3:00;04/01/2019 3:00
04-ene;4:00;04/01/2019 4:00
04-ene;5:00;04/01/2019 5:00
04-ene;6:00;04/01/2019 6:00
04-ene;7:00;04/01/2019 7:00
04-ene;8:00;04/01/2019 8:00
04-ene;9:00;04/01/2019 9:00
04-ene;10:00;04/01/2019 10:00
04-ene;11:00;04/01/2019 11:00
04-ene;12:00;04/01/2019 12:00
04-ene;13:00;04/01/2019 13:00
04-ene;14:00;04/01/2019 14:00
04-ene;15:00;04/01/2019 15:00
04-ene;16:00;04/01/2019 16:00
04-ene;17:00;04/01/2019 17:00
04-ene;18:00;04/01/2019 18:00
04-ene;19:00;04/01/2019 19:00
04-ene;20:00;04/01/2019 20:00
04-ene;21:00;04/01/2019 21:00
04-ene;22:00;04/01/2019 22:00
04-ene;23:00;04/01/2019 23:00
05-ene;0:00;05/01/2019 0:00
05-ene;1:00;05/01/2019 1:00
05-ene;2:00;05/01/2019 2:00
05-ene;3:00;05/01/2019 3:00
05-ene;4:00;05/01/2019 4:00
05-ene;5:00;05/01/2019 5:00
05-ene;6:00;05/01/2019 6:00
05-ene;7:00;05/01/2019 7:00
05-ene;8:00;05/01/2019 8:00
05-ene;9:00;05/01/2019 9:00
05-ene;10:00;05/01/2019 10:00
05-ene;11:00;05/01/2019 11:00
05-ene;12:00;05/01/2019 12:00
05-ene;13:00;05/01/2019 13:00
05-ene;14:00;05/01/2019 14:00
05-ene;15:00;05/01/2019 15:00
05-ene;16:00;05/01/2019 16:00
05-ene;17:00;05/01/2019 17:00
05-ene;18:00;05/01/2019 18:00
05-ene;19:00;05/01/2019 19:00
05-ene;20:00;05/01/2019 20:00
05-ene;21:00;05/01/2019 21:00
05-ene;22:00;05/01/2019 22:00
05-ene;23:00;05/01/2019 23:00
06-ene;0:00;06/01/2019 0:00
06-ene;1:00;06/01/2019 1:00
06-ene;2:00;06/01/2019 2:00
06-ene;3:00;06/01/2019 3:00
06-ene;4:00;06/01/2019 4:00
06-ene;5:00;06/01/2019 5:00
06-ene;6:00;06/01/2019 6:00
06-ene;7:00;06/01/2019 7:00
06-ene;8:00;06/01/2019 8:00
06-ene;9:00;06/01/2019 9:00
06-ene;10:00;06/01/2019 10:00
06-ene;11:00;06/01/2019 11:00
06-ene;12:00;06/01/2019 12:00
06-ene;13:00;06/01/2019 13:00
06-ene;14:00;06/01/2019 14:00
06-ene;15:00;06/01/2019 15:00
06-ene;16:00;06/01/2019 16:00
06-ene;17:00;06/01/2019 17:00
06-ene;18:00;06/01/2019 18:00
06-ene;19:00;06/01/2019 19:00
06-ene;20:00;06/01/2019 20:00
06-ene;21:00;06/01/2019 21:00
06-ene;22:00;06/01/2019 22:00
06-ene;23:00;06/01/2019 23:00
07-ene;0:00;07/01/2019 0:00
07-ene;1:00;07/01/2019 1:00
07-ene;2:00;07/01/2019 2:00
07-ene;3:00;07/01/2019 3:00
07-ene;4:00;07/01/2019 4:00
07-ene;5:00;07/01/2019 5:00
07-ene;6:00;07/01/2019 6:00
07-ene;7:00;07/01/2019 7:00
07-ene;8:00;07/01/2019 8:00
07-ene;9:00;07/01/2019 9:00
07-ene;10:00;07/01/2019 10:00
07-ene;11:00;07/01/2019 11:00
07-ene;12:00;07/01/2019 12:00
07-ene;13:00;07/01/2019 13:00
07-ene;14:00;07/01/2019 14:00
07-ene;15:00;07/01/2019 15:00
07-ene;16:00;07/01/2019 16:00
07-ene;17:00;07/01/2019 17:00
07-ene;18:00;07/01/2019 18:00
07-ene;19:00;07/01/2019 19:00
07-ene;20:00;07/01/2019 20:00
07-ene;21:00;07/01/2019 21:00
07-ene;22:00;07/01/2019 22:00
07-ene;23:00;07/01/2019 23:00
08-ene;0:00;08/01/2019 0:00
08-ene;1:00;08/01/2019 1:00
08-ene;2:00;08/01/2019 2:00
08-ene;3:00;08/01/2019 3:00
08-ene;4:00;08/01/2019 4:00
08-ene;5:00;08/01/2019 5:00
08-ene;6:00;08/01/2019 6:00
08-ene;7:00;08/01/2019 7:00
08-ene;8:00;08/01/2019 8:00
08-ene;9:00;08/01/2019 9:00
08-ene;10:00;08/01/2019 10:00
08-ene;11:00;08/01/2019 11:00
08-ene;12:00;08/01/2019 12:00
08-ene;13:00;08/01/2019 13:00
08-ene;14:00;08/01/2019 14:00
08-ene;15:00;08/01/2019 15:00
08-ene;16:00;08/01/2019 16:00
08-ene;17:00;08/01/2019 17:00
08-ene;18:00;08/01/2019 18:00
08-ene;19:00;08/01/2019 19:00
08-ene;20:00;08/01/2019 20:00
08-ene;21:00;08/01/2019 21:00
08-ene;22:00;08/01/2019 22:00
08-ene;23:00;08/01/2019 23:00
09-ene;0:00;09/01/2019 0:00
09-ene;1:00;09/01/2019 1:00
09-ene;2:00;09/01/2019 2:00
09-ene;3:00;09/01/2019 3:00
09-ene;4:00;09/01/2019 4:00
09-ene;5:00;09/01/2019 5:00
09-ene;6:00;09/01/2019 6:00
09-ene;7:00;09/01/2019 7:00
09-ene;8:00;09/01/2019 8:00
09-ene;9:00;09/01/2019 9:00
09-ene;10:00;09/01/2019 10:00
09-ene;11:00;09/01/2019 11:00
09-ene;12:00;09/01/2019 12:00
09-ene;13:00;09/01/2019 13:00
09-ene;14:00;09/01/2019 14:00
09-ene;15:00;09/01/2019 15:00
09-ene;16:00;09/01/2019 16:00
09-ene;17:00;09/01/2019 17:00
