Building ID,Use,Age,Footprint Area,Number of floors,Volume,Gross floor area,Total External Facade area,Height
Apartment Block_AB_0_Before1945,Apartment Block,1900,2561927.3383676074,4.0,27791708.48822066,10247709.35347043,6426728.406625973,10.847969055175781
Apartment Block_AB_1_Before1945,Apartment Block,1900,3026202.9030337986,5.0,48012572.72773056,15131014.515168993,6928220.058678399,15.865615844726564
Apartment Block_AB_2_Before1945,Apartment Block,1900,1061693.6551530021,6.0,17869010.999454953,6370161.930918013,2362073.2141079106,16.830665712963903
Apartment Block_AB_3_Before1945,Apartment Block,1900,1613002.4065107724,7.0,35918676.14818795,11291016.845575407,2979777.2607913613,22.268209894296938
Apartment Block_AB_0_1945to1969,Apartment Block,1955,2126704.7806621427,4.0,23070427.65011732,8506819.12264857,5334949.911224799,10.847969055175781
Apartment Block_AB_1_1945to1969,Apartment Block,1955,2512108.788079986,5.0,39856152.99183867,12560543.94039993,5751247.703090204,15.865615844726564
Apartment Block_AB_2_1945to1969,Apartment Block,1955,881332.1666848031,6.0,14833407.079554103,5287993.0001088185,1960802.0576875869,16.830665712963903
Apartment Block_AB_3_1945to1969,Apartment Block,1955,1338984.0834954157,7.0,29816778.616398733,9372888.58446791,2473569.97637223,22.268209894296938
Apartment Block_AB_0_1970to1979,Apartment Block,1975,109795.37790631635,3.0,1012238.7556157698,329386.13371894904,236665.0276701287,9.21932029305887
Apartment Block_AB_1_1970to1979,Apartment Block,1975,25171.682808792913,4.0,309158.40584248165,100686.73123517165,48456.54323094666,12.281991958618164
Apartment Block_AB_2_1970to1979,Apartment Block,1975,110475.73349482911,4.0,1370985.8030453958,441902.93397931644,224584.84962382598,12.409836619093962
Apartment Block_AB_3_1970to1979,Apartment Block,1975,34198.68562921805,6.0,602985.7887440919,205192.11377530833,103641.38679679234,17.631841038619445
Apartment Block_AB_0_1980to1989,Apartment Block,1985,141444.5108477746,3.0,1304022.2492006738,424333.5325433238,304885.048095004,9.21932029305887
Apartment Block_AB_1_1980to1989,Apartment Block,1985,32427.5614328955,4.0,398275.04875641904,129710.245731582,62424.413353023316,12.281991958618164
Apartment Block_AB_2_1980to1989,Apartment Block,1985,142320.9827471823,4.0,1766180.143361423,569283.9309887292,289322.6910332044,12.409836619093962
Apartment Block_AB_3_1980to1989,Apartment Block,1985,44056.64840089128,6.0,776799.8212988627,264339.8904053477,133516.59731583254,17.631841038619445
Apartment Block_AB_0_1990to2000,Apartment Block,1995,760916.6831173835,3.0,7460343.976951482,2282750.0493521504,1573467.6732061785,9.804416360523673
Apartment Block_AB_1_1990to2000,Apartment Block,1995,121030.90456563602,4.0,1528765.4265647966,484123.6182625441,243598.82264645104,12.63119888305664
Apartment Block_AB_2_1990to2000,Apartment Block,1995,394946.4530538843,5.0,5782850.316484644,1974732.2652694215,995438.9667555895,14.642112295905754
Apartment Block_AB_3_1990to2000,Apartment Block,1995,65644.19039811705,8.0,1549206.6746275378,525153.5231849364,202559.6566421937,23.60005760192871
Apartment Block_AB_0_2000to2010,Apartment Block,2005,339950.11599327176,3.0,3116265.0115934955,1019850.3479798152,680644.181846631,9.166830264164911
Apartment Block_AB_1_2000to2010,Apartment Block,2005,74188.90741180017,4.0,838826.8192022345,296755.6296472007,132490.40281330768,11.306633949279785
Apartment Block_AB_2_2000to2010,Apartment Block,2005,281555.10577057395,4.0,3551923.12001904,1126220.4230822958,580416.0055257358,12.615374565124512
Apartment Block_AB_3_2000to2010,Apartment Block,2005,58066.64720820907,6.0,1087657.9691853109,348399.88324925443,185046.10372595227,18.73119977610047
Apartment Block_AB_0_Post2010,Apartment Block,2020,289770.2818583331,3.0,2760053.0163799743,869310.8455749992,601095.1318633147,9.52496922279058
Apartment Block_AB_1_Post2010,Apartment Block,2020,45268.41134939505,4.0,518815.6702351474,181073.6453975802,86782.8587810968,11.46087646484375
Apartment Block_AB_2_Post2010,Apartment Block,2020,127016.08638048518,5.0,1753772.6367217053,635080.431902426,311153.1140950019,13.807484443097719
Apartment Block_AB_3_Post2010,Apartment Block,2020,16179.19579542451,7.0,348220.9224235322,113254.37056797156,47232.647444510614,21.522758413122695
SFH_0_Before1945_1900,Single family- Terraced houses,1900,7332402.581147372,1.0,19195854.322294958,7332402.581147372,5032622.545820066,2.6179487705230713
SFH_1_Before1945_1900,Single family- Terraced houses,1900,280757.4577935805,2.0,1313575.7592817505,561514.915587161,265683.64509549947,4.678685188293457
SFH_2_Before1945_1900,Single family- Terraced houses,1900,1660678.8953679714,2.0,10110594.500237094,3321357.790735943,2358382.705680085,6.088229656219482
SFH_0_1945to1969_1955,Single family- Terraced houses,1955,6086767.329241096,1.0,15934845.046046726,6086767.329241096,4177676.0281902547,2.6179487705230713
SFH_1_1945to1969_1955,Single family- Terraced houses,1955,233062.1242664151,2.0,1090424.3087574854,466124.2485328302,220549.0646461369,4.678685188293457
SFH_2_1945to1969_1955,Single family- Terraced houses,1955,1378561.2468518114,2.0,8392997.465998106,2757122.493703623,1957738.4962044058,6.088229656219482
SFH_0_1970to1979_1975,Single family- Terraced houses,1975,1568227.7407318733,1.0,4052405.719929201,1568227.7407318733,1072223.7056201329,2.5840671062469482
SFH_1_1970to1979_1975,Single family- Terraced houses,1975,94523.59634881327,1.0,290698.21500161657,94523.59634881327,66646.05600297483,3.0754036688243955
SFH_2_1970to1979_1975,Single family- Terraced houses,1975,197027.24733723068,2.0,1178802.895645788,394054.49467446137,273447.59549823264,5.982943534851074
SFH_0_1980to1989_1985,Single family- Terraced houses,1985,2020278.1748699616,1.0,5220534.377150088,2020278.1748699616,1381298.197181242,2.5840671062469482
SFH_1_1980to1989_1985,Single family- Terraced houses,1985,121770.5526778941,1.0,374493.60446036985,121770.5526778941,85857.15511009561,3.0754036688243955
SFH_2_1980to1989_1985,Single family- Terraced houses,1985,253821.4554630616,2.0,1518599.4359692142,507642.9109261232,352270.3972179013,5.982943534851074
SFH_0_1990to2000_1995,Single family- Terraced houses,1995,2691922.272517283,1.0,6977370.772890028,2691922.272517283,1816891.932105158,2.591965913772583
SFH_1_1990to2000_1995,Single family- Terraced houses,1995,514782.718018701,2.0,2440499.288291317,1029565.436037402,567220.5663206266,4.740833759307861
SFH_2_1990to2000_1995,Single family- Terraced houses,1995,474717.62526986765,2.0,3300479.4252858893,949435.2505397353,697882.1184359795,6.952510818214579
SFH_0_2000to2010_2005,Single family- Terraced houses,2005,3292807.9358298634,1.0,8605435.972358398,3292807.9358298634,2489742.9662064696,2.613403557104107
SFH_1_2000to2010_2005,Single family- Terraced houses,2005,1099059.6143824128,1.0,4344945.389264659,1099059.6143824128,1086974.8231947185,3.9533300399780273
SFH_2_2000to2010_2005,Single family- Terraced houses,2005,461985.5376973827,2.0,3010407.8236192274,923971.0753947654,663005.9139167579,6.516238232529162
SFH_0_Post2010_2020,Single family- Terraced houses,2020,2531482.882146768,1.0,6621946.230412653,2531482.882146768,1767284.1792495737,2.6158368587493896
SFH_1_Post2010_2020,Single family- Terraced houses,2020,167819.25176727792,1.0,548206.7123085365,167819.25176727792,124681.83982345981,3.2666497230529785
SFH_2_Post2010_2020,Single family- Terraced houses,2020,456398.7716225324,2.0,2702690.689191985,912797.5432450648,656828.7520875164,5.921774678717284
0_Other non-residential buildings_1900,Other non-residential buildings,1900,1387465.9295690248,4.0,16678352.026186323,5549863.718276099,4137049.199279464,12.020729064941406
0_Other non-residential buildings_1955,Other non-residential buildings,1955,1151761.9493847226,4.0,13845018.340862509,4607047.7975388905,3434243.5002657655,12.020729064941406
0_Other non-residential buildings_1975,Other non-residential buildings,1975,217694.81817188393,2.0,1350784.4278046987,435389.63634376787,441892.97692501935,6.204945249262518
