Building_Use,Region,Threshold,Area_m2,Median_Radiation,Median_Radiation_X,Median_Radiation_Y
Apartment Block,ES211,1200,674578.6814262107,1262.07,-2.963800504973101,43.141810904550844
Apartment Block,ES211,1300,12363228.901786469,1389.57,-2.6644146937761524,42.835450162385904
Apartment Block,ES211,1400,335248.76714118966,1473.81,-2.798321724188188,42.58944440468614
Apartment Block,ES211,1500,328262.95489395945,1510.6799,-2.6194621488861207,42.515902471447866
Apartment Block,ES212,1100,11353.650323983049,1197.15,-2.4721740958698324,43.180692158213155
Apartment Block,ES212,1200,25391408.165152922,1264.47,-1.9094013541163668,43.31130172231153
Apartment Block,ES213,1100,66336.3135660747,1194.135,-2.500673995742836,43.18600294524622
Apartment Block,ES213,1200,50565795.96674459,1273.0,-2.978950167685066,43.2869018712343
Apartment Block,ES213,1300,1327191.5065121737,1301.95,-2.9478094238857935,43.40601392173837
Single family- Terraced houses,ES211,1100,2280.214485447854,1194.63,-2.591118151844079,43.05934078511217
Single family- Terraced houses,ES211,1200,1742153.1729818515,1272.445,-2.6285323168232773,43.05246770540496
Single family- Terraced houses,ES211,1300,5112427.995529708,1374.59,-2.3589175513151606,42.82652056086299
Single family- Terraced houses,ES211,1400,1869838.3502871876,1427.46,-2.886112686486997,42.68853657171052
Single family- Terraced houses,ES211,1500,579612.4572908757,1509.98,-2.4072128178513457,42.523684367060056
Single family- Terraced houses,ES212,1000,3687.044357130304,1075.45,-2.1170918331785904,43.16650654608049
Single family- Terraced houses,ES212,1100,802466.5153480014,1185.33,-2.143834519223753,43.124198047323176
Single family- Terraced houses,ES212,1200,12196475.616468506,1242.57,-2.189925768596354,42.99248405280728
Single family- Terraced houses,ES212,1300,6525.816497075837,1307.44,-2.3513380499854306,42.95385079999521
Single family- Terraced houses,ES213,1000,1807.9847774421796,1087.265,-2.672458974528215,43.156439004026474
Single family- Terraced houses,ES213,1100,273432.2840460852,1188.74,-2.5965889384263416,43.109248122196405
Single family- Terraced houses,ES213,1200,15300942.005475733,1256.78,-2.7302476591133895,43.30975843037546
Single family- Terraced houses,ES213,1300,884714.5265156813,1301.75,-2.9477560089738497,43.37391372404962
Offices,ES211,1200,372138.792172377,1289.5801,-3.002074742382377,43.034602224258705
Offices,ES211,1300,266542.63421227084,1388.16,-2.6890732234256722,42.85836891552164
Offices,ES211,1400,1132.1582314437255,1417.01,-2.370378588722154,42.71339170914471
Offices,ES212,1100,2306.4987452477217,1198.29,-2.2504668448570353,43.20865112552301
Offices,ES212,1200,918850.5898694003,1261.19,-1.8937149470611665,43.313121665155485
Offices,ES213,1000,626.0372680537403,1046.82,-3.0981315950374553,43.35989468301892
Offices,ES213,1100,942.0149260759354,1197.92,-2.9330800985971086,43.24080106934496
Offices,ES213,1200,1258940.2284317403,1265.19,-3.0357309022692163,43.304481976818664
Offices,ES213,1300,28675.310937081464,1302.87,-2.9810977935285843,43.38175313501417
Education,ES211,1200,19604.90493875742,1258.47,-2.9595359499827003,43.138046349986396
Education,ES211,1300,704737.5201058567,1389.63,-2.670849831588866,42.84004431952548
Education,ES211,1400,3360.7855070796795,1476.6,-2.680353776760375,42.56858264969664
Education,ES212,1100,9507.654436519835,1197.05,-2.1779008474606023,43.0007827247946
Education,ES212,1200,1516035.842385,1253.48,-2.4016600540968307,43.03378598668187
Education,ES213,1100,2435.9115796908736,1199.7,-2.9489220893462686,43.24521709098521
Education,ES213,1200,3048066.3298776764,1263.23,-2.9802310410819186,43.27960826876634
Education,ES213,1300,53302.97527549788,1301.71,-2.949095516705212,43.39933621737255
Health,ES211,1200,263.07183528877795,1258.8,-3.0256158380571465,43.153785336624
Health,ES211,1300,101453.74139977712,1388.77,-2.6897206581362436,42.85457264143887
Health,ES211,1400,2991.60234740749,1463.025,-2.6389425937158038,42.5762764226451
Health,ES212,1100,5073.643671557307,1196.6,-2.529880076836901,43.06238929373586
Health,ES212,1200,104418.97474855557,1253.52,-2.06092285694506,43.27267230384015
Health,ES213,1200,324722.38076686603,1254.81,-2.9531231092179038,43.262396290904114
Health,ES213,1300,20352.358197903726,1301.315,-2.9428071710813017,43.41645918023422
Trade,ES211,1200,60927.08797573671,1259.615,-2.9691855018550752,43.13768550167596
Trade,ES211,1300,1060646.4891318902,1387.825,-2.6754572497997984,42.86817920593452
Trade,ES211,1400,29569.01353148278,1425.3,-2.9074510000012115,42.70011499999548
Trade,ES212,1100,12958.606146652251,1193.54,-2.421773239620287,43.20739446310207
Trade,ES212,1200,1007407.2652705655,1260.74,-2.1462534744725854,43.29002839209078
Trade,ES213,1200,2800046.720504677,1264.47,-3.0047182823313263,43.28999307997231
Trade,ES213,1300,4069.7685494762845,1301.5801,-2.959865618123221,43.37610626415141
Hotels and Restaurants,ES211,1200,14139.497485144064,1280.05,-3.0410379222073467,43.0771189534574
Hotels and Restaurants,ES211,1300,97485.47596021276,1375.4,-3.0672710578698257,42.84106511282766
Hotels and Restaurants,ES211,1400,16421.995643178467,1474.92,-2.796259926671447,42.58782547818849
Hotels and Restaurants,ES211,1500,1762.036088373512,1510.16,-2.6177007171944333,42.511646338188285
Hotels and Restaurants,ES212,1100,672.4395973589271,1188.03,-1.851412024276097,43.267845345619904
Hotels and Restaurants,ES212,1200,544355.4623772918,1257.84,-2.5246157756665037,43.013442688782845
Hotels and Restaurants,ES212,1300,239.02085720328614,1310.7,-2.505640673455338,42.975622691777716
Hotels and Restaurants,ES213,1100,1303.2089233919978,1188.715,-2.7942356222578897,43.073822161540875
Hotels and Restaurants,ES213,1200,550986.6450821791,1253.43,-2.8909588319345083,43.20887878686038
Hotels and Restaurants,ES213,1300,109043.83688923065,1301.41,-2.988276100032273,43.384593549963476
Other non-residential buildings,ES211,1100,1011.0053431540728,1199.88,-3.0344395741755363,43.14292234735116
Other non-residential buildings,ES211,1200,662621.0924690244,1266.54,-2.9091978305159167,43.044391160189186
Other non-residential buildings,ES211,1300,2180455.8494040268,1384.35,-2.67885640675671,42.88416941567423
Other non-residential buildings,ES211,1400,245286.50153683944,1426.36,-2.8585467816867927,42.68287401171115
Other non-residential buildings,ES211,1500,73421.51135500218,1509.55,-2.5746988810327425,42.49538839509395
Other non-residential buildings,ES212,1100,102714.30501340202,1187.71,-2.231322799935105,43.14458304998478
Other non-residential buildings,ES212,1200,3870981.153744703,1247.915,-2.2251761674800012,43.01219862386131
Other non-residential buildings,ES212,1300,385.4157222881913,1302.0801,-2.5649283616727883,42.97771292220061
Other non-residential buildings,ES213,1000,149.524792637676,1092.865,-2.6355331007677116,43.12236921670391
Other non-residential buildings,ES213,1100,49120.44625187316,1185.62,-2.5297911496804346,43.10443309442497
Other non-residential buildings,ES213,1200,7478192.634557867,1255.55,-2.8862394905218833,43.23200131582278
Other non-residential buildings,ES213,1300,174557.5968538399,1302.28,-2.9589512549286634,43.39256798627299
Sport,ES211,1200,2481.242884516716,1258.92,-3.0180324687717643,43.16094557829929
Sport,ES211,1300,101734.748323631,1389.005,-2.6798196356802495,42.85920726131317
Sport,ES212,1100,5918.644729716703,1174.47,-2.4686395001671144,43.17646854997532
Sport,ES212,1200,292565.3413739572,1255.63,-1.9667647289188024,43.26772040861444
Sport,ES213,1200,419132.812096011,1267.94,-2.4970215008913255,43.34913395116327
Sport,ES213,1300,3875.079386100173,1300.635,-2.945831494752665,43.37094006055989
